asset_description,asset_abbreviation,dbo_entity_type,can_be_connected,ifc_class,ifc_type,ifc_version,IFC2x3,IFC4.3
actuator - switch actuator,SWACT,,1,IfcActuator,ELECTRICACTUATOR,"2x3,4x1,4.3",IfcActuatorType.ELECTRICACTUATOR,IfcActuatorType.ELECTRICACTUATOR
air conditioning unit,ACU,HVAC/AHU,1,IfcUnitaryEquipment,AIRCONDITIONINGUNIT,"2x3,4x1,4.3",IfcUnitaryEquipmentType.AIRCONDITIONINGUNIT,IfcUnitaryEquipmentType.AIRCONDITIONINGUNIT
air conditioning unit - computer room AC unit,CRAC,HVAC/AHU,1,IfcUnitaryEquipment,AIRCONDITIONINGUNIT,"2x3,4x1,4.3",IfcUnitaryEquipmentType.AIRCONDITIONINGUNIT,IfcUnitaryEquipmentType.AIRCONDITIONINGUNIT
air conditioning unit - direct expansion cooling unit,DX,HVAC/AHU,1,IfcUnitaryEquipment,SPLITSYSTEM,"2x3,4x1,4.3",IfcUnitaryEquipmentType.SPLITSYSTEM,IfcUnitaryEquipmentType.SPLITSYSTEM
air handling - mechanical ventilation with heat recovery,MVHR,HVAC/AHU,1,IfcAirToAirHeatRecovery,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirToAirHeatRecoveryType.NOTDEFINED,IfcAirToAirHeatRecoveryType.USERDEFINED","IfcAirToAirHeatRecoveryType.NOTDEFINED,IfcAirToAirHeatRecoveryType.USERDEFINED"
air handling unit - air handling unit,AHU,HVAC/AHU,1,IfcUnitaryEquipment,AIRHANDLER,"2x3,4x1,4.3",IfcUnitaryEquipmentType.AIRHANDLER,IfcUnitaryEquipmentType.AIRHANDLER
air handling unit - computer room air handler,CRAH,HVAC/AHU,1,IfcUnitaryEquipment,AIRHANDLER,"2x3,4x1,4.3",IfcUnitaryEquipmentType.AIRHANDLER,IfcUnitaryEquipmentType.AIRHANDLER
air handling unit - dedicated outside air system unit,DOAS,HVAC/DOAS,1,IfcUnitaryEquipment,AIRHANDLER,"2x3,4x1,4.3",IfcUnitaryEquipmentType.AIRHANDLER,IfcUnitaryEquipmentType.AIRHANDLER
air handling unit - heat recovery unit,HRU,HVAC/AHU,1,IfcAirToAirHeatRecovery,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirToAirHeatRecoveryType.NOTDEFINED,IfcAirToAirHeatRecoveryType.USERDEFINED","IfcAirToAirHeatRecoveryType.NOTDEFINED,IfcAirToAirHeatRecoveryType.USERDEFINED"
air handling unit - make-up air handler,MAU,HVAC/MAU,1,IfcUnitaryEquipment,AIRHANDLER,"2x3,4x1,4.3",IfcUnitaryEquipmentType.AIRHANDLER,IfcUnitaryEquipmentType.AIRHANDLER
air handling unit - roof top unit,RTU,HVAC/AHU,1,IfcUnitaryEquipment,ROOFTOPUNIT,"2x3,4x1,4.3",IfcUnitaryEquipmentType.ROOFTOPUNIT,IfcUnitaryEquipmentType.ROOFTOPUNIT
air terminal - generic,AT,,1,IfcAirTerminal,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalType.NOTDEFINED,IfcAirTerminalType.DIFFUSER,IfcAirTerminalType.EYEBALL,IfcAirTerminalType.GRILLE,IfcAirTerminalType.IRIS,IfcAirTerminalType.LINEARDIFFUSER,IfcAirTerminalType.LINEARGRILLE,IfcAirTerminalType.REGISTER,IfcAirTerminalType.USERDEFINED","IfcAirTerminalType.NOTDEFINED,IfcAirTerminalType.DIFFUSER,IfcAirTerminalType.EYEBALL,IfcAirTerminalType.GRILLE,IfcAirTerminalType.IRIS,IfcAirTerminalType.LINEARDIFFUSER,IfcAirTerminalType.LINEARGRILLE,IfcAirTerminalType.REGISTER,IfcAirTerminalType.LOUVRE,IfcAirTerminalType.USERDEFINED"
air terminal box - constant air volume box,CAV,,1,IfcAirTerminalBox,CONSTANTFLOW,"2x3,4x1,4.3",IfcAirTerminalBoxType.CONSTANTFLOW,IfcAirTerminalBoxType.CONSTANTFLOW
air terminal box - constant air volume box - extract,CAVE,,1,IfcAirTerminalBox,CONSTANTFLOW,"2x3,4x1,4.3",IfcAirTerminalBoxType.CONSTANTFLOW,IfcAirTerminalBoxType.CONSTANTFLOW
air terminal box - constant air volume box - extract - fixed,CAVEF,,1,IfcAirTerminalBox,CONSTANTFLOW,"2x3,4x1,4.3",IfcAirTerminalBoxType.CONSTANTFLOW,IfcAirTerminalBoxType.CONSTANTFLOW
air terminal box - constant air volume box - extract - mechanically actuated,CAVEM,,1,IfcAirTerminalBox,CONSTANTFLOW,"2x3,4x1,4.3",IfcAirTerminalBoxType.CONSTANTFLOW,IfcAirTerminalBoxType.CONSTANTFLOW
air terminal box - constant air volume box - supply,CAVS,,1,IfcAirTerminalBox,CONSTANTFLOW,"2x3,4x1,4.3",IfcAirTerminalBoxType.CONSTANTFLOW,IfcAirTerminalBoxType.CONSTANTFLOW
air terminal box - constant air volume box - supply - fixed,CAVSF,,1,IfcAirTerminalBox,CONSTANTFLOW,"2x3,4x1,4.3",IfcAirTerminalBoxType.CONSTANTFLOW,IfcAirTerminalBoxType.CONSTANTFLOW
air terminal box - constant air volume box - supply - mechanically actuated,CAVSM,,1,IfcAirTerminalBox,CONSTANTFLOW,"2x3,4x1,4.3",IfcAirTerminalBoxType.CONSTANTFLOW,IfcAirTerminalBoxType.CONSTANTFLOW
air terminal box - fan powered box,FPB,,1,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
air terminal box - under floor variable air volume box,UFT,HVAC/VAV,1,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
air terminal box - variable air volume box,VAV,HVAC/VAV,1,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
air terminal box - variable air volume box - extract,VAVE,HVAC/VAV,1,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
air terminal box - variable air volume box - supply,VAVS,HVAC/VAV,1,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
air terminal box - variable volume and temperature box,VVTB,,1,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
air terminal box - variable volume terminal unit,VVT,,1,IfcAirTerminalBox,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED","IfcAirTerminalBoxType.NOTDEFINED,IfcAirTerminalBoxType.USERDEFINED"
alarm - disabled alarm,DA,,1,IfcAlarm,MANUALPULLBOX,"2x3,4x1,4.3",IfcAlarmType.MANUALPULLBOX,IfcAlarmType.MANUALPULLBOX
antenna,ANT,,0,IfcCommunicationsAppliance,ANTENNA,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.ANTENNA
antenna - wi-fi antenna,WANT,,0,IfcCommunicationsAppliance,ANTENNA,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.ANTENNA
architecture - room,ROOM,,0,IfcSpace,INTERNAL,"4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3,4x1,4.3,4x1,4.3","IfcSpaceType.USERDEFINED,IfcSpaceType.NOTDEFINED","IfcSpaceType.GFA,IfcSpaceType.USERDEFINED,IfcSpaceType.NOTDEFINED,IfcSpaceType.INTERNAL,IfcSpaceType.SPACE"
av equipment,AVEQ,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,"IfcAudioVisualApplianceType.NOTDEFINED,IfcAudioVisualApplianceType.USERDEFINED"
av equipment - audio amplifier,AMP,,0,IfcAudioVisualAppliance,AMPLIFIER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.AMPLIFIER
av equipment - audio assistive equipment,AAE,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - audio mixer / splitter / equalizer / diplexer,AMIX,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - audio mixing desk,MIX,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - audio monitor,AMON,,0,IfcAudioVisualAppliance,DISPLAY,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.DISPLAY
av equipment - audio video control keypad,AVKP,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - audio visual encoder,AVE,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - audio visual outlet,AVO,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - audio visual switch,AVS,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - bluetooth audio interface,BTAI,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - camera control unit,CCU,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - codec device,CD,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - digital signal processor,DSP,,0,IfcAudioVisualAppliance,TUNER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.TUNER
av equipment - digital whiteboard,DWB,,0,IfcAudioVisualAppliance,DISPLAY,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.DISPLAY
av equipment - display screen,DS,,0,IfcAudioVisualAppliance,DISPLAY,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.DISPLAY
av equipment - iptv / digital signage decoder,DEC,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - iptv content management system device,CMS,,1,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - matrix switcher,MSW,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - microphone,MIC,,0,IfcAudioVisualAppliance,MICROPHONE,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.MICROPHONE
av equipment - networked video recorder,NVR,,1,IfcAudioVisualAppliance,PLAYER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.PLAYER
av equipment - room booking panel,RBP,,1,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - speaker,SPK,,0,IfcAudioVisualAppliance,SPEAKER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.SPEAKER
av equipment - thin client device,TCD,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - touch panel,TPAN,,1,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - video wall,VDW,,0,IfcAudioVisualAppliance,DISPLAY,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.DISPLAY
av equipment - vision mixing desk,VMIX,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - white noise generator,WNG,,0,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - wireless presentation device,WPD,,1,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - wireless receiver,WRCVR,,1,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
av equipment - wireless sender,WSEND,,1,IfcAudioVisualAppliance,NOTDEFINED,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.USERDEFINED
battery,BATT,ELECTRICAL/BATT,0,IfcElectricFlowStorageDevice,BATTERY,"2x3,4x1,4.3",IfcElectricFlowStorageDeviceType.BATTERY,IfcElectricFlowStorageDeviceType.BATTERY
battery - battery trip unit,BTR,ELECTRICAL/BATT,0,IfcProtectiveDevice,NOTDEFINED,"2x3,4x1,4.3",IfcProtectiveDeviceType.USERDEFINED,IfcProtectiveDeviceType.USERDEFINED
battery - electric heater battery,EHB,ELECTRICAL/BATT,0,IfcElectricFlowStorageDevice,BATTERY,"2x3,4x1,4.3",IfcElectricFlowStorageDeviceType.BATTERY,IfcElectricFlowStorageDeviceType.BATTERY
battery - lithium ion cell,BATTLI,,1,IfcElectricFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcElectricFlowStorageDeviceType.USERDEFINED,IfcElectricFlowStorageDeviceType.NOTDEFINED","IfcElectricFlowStorageDeviceType.USERDEFINED,IfcElectricFlowStorageDeviceType.NOTDEFINED"
beverage machine - airpot,BVAP,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - chai machine,BVC,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - coffee grinder,BVCFMG,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - coffee machine,BVCFM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - coffee nitro machine,BVCFMN,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - coffee urn,BVCFMU,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - espresso machine,BVCFME,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - knock out chute,BVKOC,,0,IfcWasteTerminal,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcWasteTerminalType.NOTDEFINED,IfcWasteTerminalType.USERDEFINED","IfcWasteTerminalType.NOTDEFINED,IfcWasteTerminalType.USERDEFINED"
beverage machine - steamer,BVS,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
beverage machine - water boiler,BVWB,,0,IfcBoiler,WATER,"2x3,4x1,4.3",IfcBoilerType.WATER,IfcBoilerType.WATER
burner - boiler,BLR,HVAC/BLR,1,ifcBoiler,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcBoilerType.NOTDEFINED,IfcBoilerType.USERDEFINED","IfcBoilerType.NOTDEFINED,IfcBoilerType.USERDEFINED"
burner - furnace,FR,,1,IfcBurner,NOTDEFINED,"4x1,4.3",IfcBuildingElementProxyType.USERDEFINED,IfcBurnerType.USERDEFINED
burner - steam boiler,SB,HVAC/BLR,1,IfcBoiler,STEAM,"2x3,4x1,4.3",IfcBoilerType.STEAM,IfcBoilerType.STEAM
cable management - cable basket,CABASK,,0,IfcCableCarrierSegmentType,NOTDEFINED,"2x3,4x1,4.3",IfcCableCarrierSegmentType.USERDEFINED,IfcCableCarrierSegmentType.USERDEFINED
cable management - cable ladder,CALAD,,0,IfcCableCarrierSegmentType,CABLELADDERSEGMENT,"2x3,4x1,4.3",IfcCableCarrierSegmentType.CABLELADDERSEGMENT,IfcCableCarrierSegmentType.CABLELADDERSEGMENT
cable management - cable tray,CATR,,0,IfcCableCarrierSegmentType,CABLETRAYSEGMENT,"2x3,4x1,4.3",IfcCableCarrierSegmentType.CABLETRAYSEGMENT,IfcCableCarrierSegmentType.CABLETRAYSEGMENT
cable management - cable trunking,CATRK,,0,IfcCableCarrierSegmentType,CABLETRUNKINGSEGMENT,"2x3,4x1,4.3",IfcCableCarrierSegmentType.CABLETRUNKINGSEGMENT,IfcCableCarrierSegmentType.CABLETRUNKINGSEGMENT
cable management - floor trunking,CAFTRK,,0,IfcCableCarrierSegmentType,NOTDEFINED,"2x3,4x1,4.3",IfcCableCarrierSegmentType.CABLETRUNKINGSEGMENT,IfcCableCarrierSegmentType.CABLETRUNKINGSEGMENT
camera,CAM,,1,IfcAudioVisualAppliance,CAMERA,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.CAMERA
camera - pan tilt zoom camera,PTZCAM,,1,IfcAudioVisualAppliance,CAMERA,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.CAMERA
chiller,CH,HVAC/CH,1,IfcChiller,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcChillerType.NOTDEFINED,IfcChillerType.USERDEFINED","IfcChillerType.NOTDEFINED,IfcChillerType.USERDEFINED"
chiller - air cooled chiller,ACCH,HVAC/CH,1,IfcChiller,NOTDEFINED,"2x3,4x1,4.3",IfcChillerType.AIRCOOLED,IfcChillerType.AIRCOOLED
chiller - cooling tower,CT,HVAC/CT,1,IfcCoolingTower,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcCoolingTowerType.NOTDEFINED,IfcCoolingTowerType.USERDEFINED","IfcCoolingTowerType.NOTDEFINED,IfcCoolingTowerType.USERDEFINED"
chiller - critical cooling chiller,CCCH,HVAC/CH,1,IfcChiller,NOTDEFINED,"2x3,4x1,4.3",IfcChillerType.USERDEFINED,IfcChillerType.USERDEFINED
chiller - dry air cooler,DAC,HVAC/DC,1,IfcCondenser,AIRCOOLED,"2x3,4x1,4.3",IfcCondenserType.AIRCOOLED,IfcCondenserType.AIRCOOLED
chiller - high temperature chiller,HTCH,HVAC/CH,1,IfcChiller,NOTEDEFINED,"2x3,4x1,4.3",IfcChillerType.USERDEFINED,IfcChillerType.USERDEFINED
chiller - hybrid air cooler or fluid cooler,HYAC,HVAC/CH,1,IfcEvaporativeCooler,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcEvaporativeCoolerType.NOTDEFINED,IfcEvaporativeCoolerType.USERDEFINED","IfcEvaporativeCoolerType.NOTDEFINED,IfcEvaporativeCoolerType.USERDEFINED"
chiller - low temperature chiller,LTCH,HVAC/CH,1,IfcChiller,NOTDEFINED,"2x3,4x1,4.3",IfcChillerType.USERDEFINED,IfcChillerType.USERDEFINED
chiller - water cooled chiller,WCCH,HVAC/CH,1,IfcChiller,NOTDEFINED,"2x3,4x1,4.3",IfcChillerType.WATERCOOLED,IfcChillerType.WATERCOOLED
cleaning - floor cleaner scrubber dryer,FCSD,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
cleaning - standalone laundry tumble dryer,TDY,,0,IfcElectricAppliance,TUMBLEDRYER,"2x3,4x1,4.3",IfcElectricApplianceType.TUMBLEDRYER,IfcElectricApplianceType.TUMBLEDRYER
cleaning - standalone laundry washing mashine,WSH,,0,IfcElectricAppliance,WASHINGMACHINE,"2x3,4x1,4.3",IfcElectricApplianceType.WASHINGMACHINE,IfcElectricApplianceType.WASHINGMACHINE
coil,COIL,,0,IfcCoil,NOTDEFINED,"2x3,4x1,4.3,4x1,4.3","IfcCoilType.NOTDEFINED,IfcCoilType.HYDRONICCOIL","IfcCoilType.NOTDEFINED,IfcCoilType.HYDRONICCOIL"
coil - cooling coil,CC,,0,IfcCoil,WATERCOOLINGCOIL,"2x3,4x1,4.3",IfcCoilType.WATERCOOLINGCOIL,IfcCoilType.WATERCOOLINGCOIL
coil - dx reversible coil,DXC,,0,IfcCoil,NOTDEFINED,"2x3,4x1,4.3",IfcCoilType.DXCOOLINGCOIL,IfcCoilType.DXCOOLINGCOIL
coil - frost or preheat coil,PHC,,0,IfcCoil,NOTDEFINED,"4x1,4.3",IfcCoilType.HYDRONICCOIL,IfcCoilType.HYDRONICCOIL
coil - heating coil,HC,,0,IfcCoil,WATERHEATINGCOIL,"2x3,4x1,4.3",IfcCoilType.WATERHEATINGCOIL,IfcCoilType.WATERHEATINGCOIL
coil - reheat coil,RHC,,0,IfcCoil,NOTDEFINED,"4x1,4.3",IfcCoilType.HYDRONICCOIL,IfcCoilType.HYDRONICCOIL
coil - run around coil,RAC,,0,IfcAirToAirHeatRecovery,RUNAROUNDCOILLOOP,"2x3,4x1,4.3",IfcAirToAirHeatRecoveryType.RUNAROUNDCOIL,IfcAirToAirHeatRecoveryType.RUNAROUNDCOIL
communication appliance - printing device,PRNTR,,0,IfcCommunicationsAppliance,PRINTER,"4x1,4.3",IfcElectricApplianceType.PRINTER,IfcCommunicationsApplianceType.PRINTER
communication gateway,CGW,,1,IfcCommunicationsAppliance,GATEWAY,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcCommunicationsApplianceType.GATEWAY
compressor,CMP,HVAC/CMP,1,IfcCompressor,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcCompressorType.USERDEFINED,IfcCompressorType.NOTDEFINED","IfcCompressorType.USERDEFINED,IfcCompressorType.NOTDEFINED"
compressor - air compressor,ACP,HVAC/CMP,1,ifcCompressor,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcCompressorType.USERDEFINED,IfcCompressorType.NOTDEFINED","IfcCompressorType.USERDEFINED,IfcCompressorType.NOTDEFINED"
condensing unit,CDU,,1,IfcCondenser,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcCondenserType.NOTDEFINED,IfcCondenserType.USERDEFINED","IfcCondenserType.NOTDEFINED,IfcCondenserType.USERDEFINED"
controller,CNTRL,,1,IfcController,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3",IfcControllerType.NOTDEFINED,"IfcControllerType.NOTDEFINED,IfcControllerType.USERDEFINED"
controller - direct digital controller,DDC,,1,IfcController,PROGRAMMABLE,"4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.PROGRAMMABLE
controller - irrigation controller,IRRC,,1,IfcController,NOTDEFINED,"2x3,4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.USERDEFINED
